Item Type,Order Type,PO No,Curr,PO Stat Code,Supplier,OrderNo,Buyer,Item Number,Item Description,WH,POCreateDate,PO Req Del Date,PO Conf Del Date,PO Rcvd Date,PO Value,Qty,,Create to Req Days,Req to Conf Days,Conf to Recvd Days,Req to Recvd Days
,,,,,,,,,,,,,,,"4,408,547","70,038",,68,-3,0,0
20 - Parts Item,AIR,3008321,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,3387790M92,SLEEVE,AML,20/12/2019,4/11/2020,,,73,1,,228,0,0,0
20 - Parts Item,AIR,3008644,SEK,20,70041 - ALO AB PARTS,          ,PTSPUR2,AL5034102,ACCUMULATOR LCS 0 5L 15 BAR,AML,3/04/2020,4/06/2020,,,430,2,,44,0,0,0
20 - Parts Item,AIR,3008680,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,4244791M1,STEERING WHEEL,AML,15/04/2020,25/09/2020,,16/09/2020,260,4,,117,0,0,-7
20 - Parts Item,AIR,3008684,USD,45,80060 - AGCO DO BRASIL SOLUCOES AGRICOLAS LT,          ,PTSPUR2,6283264M91,ALTERNATOR,AML,16/04/2020,18/05/2020,22/06/2020,24/06/2020,707,3,,22,25,2,27
20 - Parts Item,AIR,3008684,USD,45,80060 - AGCO DO BRASIL SOLUCOES AGRICOLAS LT,          ,PTSPUR2,6312632M1,CONNECTION,AML,16/04/2020,18/05/2020,22/06/2020,24/06/2020,72,4,,22,25,2,27
20 - Parts Item,AIR,3008689,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,3794714M91,BAR,AML,16/04/2020,4/11/2020,,,553,1,,144,0,0,0
20 - Parts Item,AIR,3008694,USD,20,80060 - AGCO DO BRASIL SOLUCOES AGRICOLAS LT,          ,PTSPUR2,6318965M1,FITTING FUEL TANK STRAINER,AML,17/04/2020,4/11/2020,,,10,3,,143,0,0,0
20 - Parts Item,AIR,3008694,USD,20,80060 - AGCO DO BRASIL SOLUCOES AGRICOLAS LT,          ,PTSPUR2,ACW1168940,SEAL RING,AML,17/04/2020,4/11/2020,,,20,8,,143,0,0,0
20 - Parts Item,AIR,3008730,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4255546M91,HARNESS,AML,24/04/2020,26/10/2020,2/11/2020,,45,3,,131,5,0,0
20 - Parts Item,AIR,3008750,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,G842201041010,VALVE BLOCK,AML,1/05/2020,4/11/2020,,,536,1,,133,0,0,0
20 - Parts Item,AIR,3008809,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,G716501040021,TRIM PANEL,AML,15/05/2020,4/11/2020,,,15,1,,123,0,0,0
20 - Parts Item,AIR,3008844,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,3011045X91,UNION,AML,21/05/2020,4/11/2020,,,6,4,,119,0,0,0
20 - Parts Item,AIR,3008867,AUD,40,80050 - AGCO GMBH,          ,PTSPUR2,V640016012,PLUG,AML,26/05/2020,26/10/2020,2/11/2020,,0,1,,109,5,0,0
